Task Name,Result
rnn_diff_last2_numerical,Failure
rnn_sum_last5_numerical,Failure
balanced_parentheses,Failure
rnn_vowel_counter,Failure
rnn_parity_last3_numerical,Failure
rnn_unique2_numerical,Failure
rnn_sum_numerical,Failure
rnn_bitwise_and,Failure
rnn_abs_value_of_diff_numerical,Failure
rnn_sum_last4_numerical,Failure
rnn_majority0_5,Failure
rnn_prev3_numerical,Success
rnn_identity_numerical,Success
rnn_sum_last6_numerical,Failure
rnn_bitwise_or,Success
rnn_prev2_numerical,Failure
rnn_majority0_3,Error
rnn_sum_last3_numerical,Failure
rnn_sum_last2_numerical,Failure
rnn_majority0_1,Failure
rnn_prev4_numerical,Success
rnn_prev1_numerical,Failure
rnn_abs_value_numerical,Success
rnn_sum_last7_numerical,Failure
rnn_count_power_of_2s_bool,Failure
rnn_majority0_2,Failure
rnn_parity_numerical,Failure
rnn_parity_last4_numerical,Failure
rnn_prev7_numerical,Success
rnn_prev8_numerical,Failure
rnn_bitwise_not,Success
rnn_parity_last2_numerical,Failure
rnn_majority0_4,Failure
rnn_diff_of_abs_value_numerical,Failure
bit_addition,Success
