Task Name, Result
Binary_Addition,0
Base_3_Addition,0
Base_4_Addition,0
Base_5_Addition,0
Base_6_Addition,1
Base_7_Addition,0
Bitwise_Xor,1
Bitwise_Or,1
Bitwise_And,1
Bitwise_Not,1
Parity_Last2,1
Parity_Last3,0
Parity_Last4,0
Parity_All,0
Parity_Zeros,0
Evens_Counter,0
Sum_All,1
Sum_Last2,0
Sum_Last3,0
Sum_Last4,1
Sum_Last5,1
Sum_Last6,1
Sum_Last7,1
Current_Number,1
Prev1,1
Prev2,1
Prev3,1
Prev4,1
Prev5,1
Previous_Equals_Current,0
Diff_Last2,0
Abs_Diff,0
Abs_Current,1
Diff_Abs_Values,1
Min_Seen,1
Max_Seen,1
Majority_0_1,1
Majority_0_2,0
Majority_0_3,0
Evens_Detector,1
Perfect_Square_Detector,0
Bit_Palindrome,1
Balanced_Parenthesis,0
Parity_Bits_Mod2,1
Alternating_Last3,0
Alternating_Last4,1
Bit_Shift_Right,1
Bit_Dot_Prod_Mod2,0
Div_3,1
Div_5,0
Div_7,0
Add_Mod_3,1
Add_Mod_4,0
Add_Mod_5,0
Add_Mod_6,0
Add_Mod_7,0
Add_Mod_8,0
Dithering,1
Newton_Freebody,0
Newton_Gravity,0
Newton_Spring,0
Newton_Magnetic,0
