first,second,gcd
1010001101111001,1001111000001111,0000000000000001
0110100101101110,1111011011000010,0000000000001010
1011000010000010,0000101001011001,0000000000000011
0110011110001110,0011000111101001,0000000000000001
1011100011100110,0110111010001100,0000000000000010
0101110111000010,1011110110000010,0000000000000010
0100101101011010,1001001000110111,0000000000000011
1100100110101101,1001000101001101,0000000000000001
0010011100001111,1111100000111000,0000000000000001
1001111110101011,0011011000010111,0000000000000001
0111011011111111,0101100101110001,0000000000000001
1011011011100101,0100001101100101,0000000000000011
1011101010000111,1100100000011101,0000000000000001
1100111001010010,0110010000000110,0000000000000010
1100001111110010,0000010000000100,0000000000000010
0010010111101001,1011110110110011,0000000000000001
0111110101010101,1001111100000100,0000000000000001
0000101011001011,1110111001001011,0000000000000001
1011001001000001,1001110100001000,0000000000000011
0111010111101101,0111110100110101,0000000000000001
0001001001000100,1011110010110000,0000000000000100
0100110101110101,1101011111101001,0000000000000001
0001011011110100,1100010000000001,0000000000000001
0100010000100101,1000011011000100,0000000000001111
0100010111010111,1101011100101101,0000000000000001
1111100100111001,0101000000011001,0000000000000011
0001010101101100,1000111111011011,0000000000000001
1001101100101100,1011110011111111,0000000000000001
1010011011001100,0110100100110000,0000000000000100
0000010110100010,0111100000100101,0000000000000001
0101011000000110,1101100110010100,0000000000000010
0111001001111001,1010100000011000,0000000000000001
1110000110111101,0100001101010111,0000000000000001
0111101011001110,1101111100100101,0000000000000001
1010000111010000,0000101001100111,0000000000000001
0100111001000110,1000001001110001,0000000000000001
0110111101011100,0111110001000001,0000000000000001
0000010010111010,1000100001101001,0000000000000001
1101001101010111,1100100001010111,0000000000000001
0110001010101011,0011000010100000,0000000000000001
1010100011110111,0100001001110010,0000000000000101
0011010011110010,0111001001111010,0000000000000010
1110100100110010,0101001011011100,0000000000000010
0100010100001100,0011100010000001,0000000000000001
0001101101111101,0111100100101110,0000000000000001
1101100001010010,1110001001101101,0000000000000001
1011111110011010,1000010000101111,0000000000000001
1111010000101011,0011010111010100,0000000000000001
1011010010110101,1001111001110010,0000000000000001
1000011011111110,1001011000110101,0000000000000001
0011010101001110,1110001100100010,0000000000000010
1011010111001000,1101101111110100,0000000000011100
0111011010111100,1000110101010001,0000000000000011
0001010000010110,1000000010101011,0000000000000001
0110111010011001,1110000010011010,0000000000000001
0000110010100110,1110100100000001,0000000000000001
0001011101110111,1011101110001110,0000000000000001
1101001101011101,1100010110111011,0000000000000001
1011111101111000,0001110110100010,0000000000000010
0000010010100101,0011111100010000,0000000000000001
1111100010100111,0001010000110111,0000000000000101
0011101110100101,1111111001111101,0000000000000001
0011111100001100,0111010000100111,0000000000000101
1100111101100101,0100100011001110,0000000000000001
1001011110101011,0110101011010100,0000000000000001
1110110000011011,1101010000101011,0000000000000001
1110010101001010,0001010000001100,0000000000000010
1001111011000010,0110011010010111,0000000000000001
0101111011000111,0000100110000110,0000000000000001
1101110001111111,1101101000100011,0000000000000001
1100110111100101,0010000011101011,0000000000000001
1011111101101010,1001100111111101,0000000000000001
1111001100101000,1100100111100100,0000000000000100
1101100000010101,0011110100010101,0000000000000001
0100100001101100,0001000011010010,0000000000000010
1010110100011011,1010000100010100,0000000000000001
1111001011100000,0010001001111010,0000000000000010
1000000000101101,0010000001111101,0000000000000001
0110111010010010,0000111100001110,0000000000000010
1100011010100000,1110100001100011,0000000000000001
0010010110111111,1000100001000110,0000000000000001
1110111100110110,0111111011011000,0000000000000010
0110011011000100,0111010011100100,0000000000000100
0111000010010010,0011011011100001,0000000000001001
0001110000000110,1010110010011100,0000000000000010
0001110011110101,1100101110101011,0000000000000001
0010101101101011,0000101101010001,0000000000000001
0100101101000111,0100111001111111,0000000000000001
0010110010000010,0101111100001000,0000000000000010
0101001101111010,1110011111010011,0000000000000001
0110111001111101,0010111111100010,0000000000000001
1001000111010000,1110000100111001,0000000000000001
0111000111101010,0101001011000001,0000000000000001
1011101101100111,1100100001111111,0000000000000001
1000111001100111,1010000000100100,0000000000000001
0101101111111100,1001111110101001,0000000000000111
0010000001100001,0000101000000000,0000000000000001
0111100000110110,0010010100110011,0000000000000001
1100011100011100,1010101100100001,0000000000000001
0001010000011000,0011001011110001,0000000000000001
1110101000100011,0110011000110011,0000000000000001
1001001110001101,0001110000111111,0000000000000001
1110111000000011,1001110011001000,0000000000000001
1010011010101001,0000001000111101,0000000000000001
0001001000110110,1010011110110001,0000000000000001
0011010000001011,0010010101001110,0000000000000001
1110010001010011,0011101100010101,0000000000000001
1001110111110101,1111111111011111,0000000000000001
0110000100101000,0010101101000110,0000000000000010
